"InternalHPID","SignatureHPID","UPRN","Price","PricePerSquareMetre","LandRegistryTransactionDate","SquareMetreSource","IndexedPrice","IndexedPricePerSquareMetre","LandRegistryPropertyType","SquareMetreSourcePropertyType","NewBuildFlag","Tenure","CouncilTaxBand","LocalAuthorityCode","SignatureHPIDCentroid_x","SignatureHPIDCentroid_y",
"55178149-aa6a-77c1-b941-57a3e82235e7","9daa9cd5-83fc-c75d-cb22-e535b47a461b","200000073762","210000","5250","2002-06-13","Epc Domestic","774748.96","19368.72","F","Flat","N","L","D","E09000001","532125.47","181906.986",
"7bd845d9-21c8-124b-73e4-d1326b98d885","df7c7b56-c365-2ecd-ff1b-e5fa90c187f5","95500464","685000","10703.125","2021-01-15","Epc Domestic","845111.25","13204.86","F","Flat","N","L","F","E09000001","532110.668","181638.855",
"56c8bf8b-ce4a-2601-188a-c5967f6a2897","0d014e1b-fc6c-b5ef-fe36-fdf4ded6b6d8","95514769","1450000","14795.918367346938","2018-07-30","Epc Domestic","1675086.61","17092.72","F","Flat","Y","L","G","E09000001","532018.741","181688.305",
"1a695fd3-5604-b7f5-3e61-b94d785238bc","88b0624a-92be-8726-6b66-70aecb5a0193","100022924535","114500","2544.4444444444443","1996-07-05","Epc Domestic","1096116.04","24358.13","F","Flat","Y","L","E","E09000001","532064.108","181510.886",
"acf1b9d4-3d0c-6186-4cc1-5405855048b9","0d729f42-f3f0-2eb5-e02f-9e133052a9af","95514597","874160","17483.2","2018-01-04","Epc Domestic","1018760.63","20375.21","F","Flat","Y","L","F","E09000001","532029.077","181623.169",
"91b0003f-f36b-a375-85b4-69d3820de759","ba4bf857-8c00-2e11-e232-663e26e413da","100020000112","212500","3541.6666666666665","2000-02-29","Epc Domestic","1140042.39","19000.71","F","Flat","Y","L","G","E09000001","531984.523","181702.888",
"aee60b84-032c-51ee-0115-eebd1f87186d","64e0bd8d-3712-62d5-e822-825972a6fd4d","95505104","100000","226.2443438914027","2019-02-15","Epc Non Domestic","104607.16","236.67","O","A3/A4/A5 Restaurant and Cafes/Drinking Establishments and Hot Food takeaways","N","L","","E09000001","533385.55","181149.5",
"6cb83099-af3a-747d-2b7d-6c0218051e8b","0b3e44b1-5498-8f7a-256f-ab872e494c35","200000069188","350000","8536.585365853658","2013-10-14","Epc Domestic","620713.73","15139.36","F","Flat","N","L","D","E09000001","532249.482","180805.924",
"fe9b899f-7c2a-b817-81d3-a4b0e8efe5ae","5a1e430f-8c83-aebe-9a45-55882b8a7a6b","95513434","900000","13235.29411764706","2014-11-11","Epc Domestic","1103544.29","16228.59","F","Flat","Y","L","F","E09000001","532413.99","181650.495",
"1e3d4d53-61eb-1484-68e6-7070655a6500","9e34cef3-f191-8d32-c00c-68be17b768ef","100020001348","190000","3392.8571428571427","1998-04-24","Epc Domestic","1086149.04","19395.52","F","Flat","Y","L","G","E09000001","531397.881","181297.224",
